nombre,apellidos,correo,sexo
Juan,Perez,juan1@test.com,M
Maria,Lopez,maria1@test.com,F
Carlos,Gomez,carlos1@test.com,M
Ana,Torres,ana1@test.com,F
Luis,Ramos,luis1@test.com,M
Sofia,Vargas,sofia1@test.com,F
Pedro,Castro,pedro1@test.com,M
Laura,Mendez,laura1@test.com,F
Diego,Rojas,diego1@test.com,M
Valeria,Cruz,valeria1@test.com,F
Jorge,Flores,jorge1@test.com,M
Carmen,Diaz,carmen1@test.com,F
Miguel,Reyes,miguel1@test.com,M
Patricia,Morales,patricia1@test.com,F
Roberto,Jimenez,roberto1@test.com,M
Gabriela,Herrera,gabriela1@test.com,F
Fernando,Medina,fernando1@test.com,M
Isabella,Guerrero,isabella1@test.com,F
Andres,Ortiz,andres1@test.com,M
Daniela,Romero,daniela1@test.com,F
Mario,Navarro,mario1@test.com,M
Lucia,Alvarez,lucia1@test.com,F
Ricardo,Torres,ricardo2@test.com,M
Elena,Paredes,elena1@test.com,F
Sergio,Campos,sergio1@test.com,M
Monica,Rios,monica1@test.com,F
Alejandro,Sandoval,alejandro1@test.com,M
Natalia,Espinoza,natalia1@test.com,F
Pablo,Aguilar,pablo1@test.com,M
Claudia,Vega,claudia1@test.com,F
Hector,Fuentes,hector1@test.com,M
Diana,Castillo,diana1@test.com,F
Oscar,Delgado,oscar1@test.com,M
Silvia,Mora,silvia1@test.com,F
Raul,Ibarra,raul1@test.com,M
Andrea,Ponce,andrea1@test.com,F
Victor,Salinas,victor1@test.com,M
Paola,Mejia,paola1@test.com,F
Ernesto,Cabrera,ernesto1@test.com,M
Rosa,Contreras,rosa1@test.com,F
Manuel,Valdez,manuel1@test.com,M
Adriana,Pineda,adriana1@test.com,F
Guillermo,Soto,guillermo1@test.com,M
Veronica,Acosta,veronica1@test.com,F
Enrique,Miranda,enrique1@test.com,M
Beatriz,Lara,beatriz1@test.com,F
Arturo,Cervantes,arturo1@test.com,M
Gloria,Montoya,gloria1@test.com,F
Jaime,Esquivel,jaime1@test.com,M
Esperanza,Villanueva,esperanza1@test.com,F
